Meter Serial Number,TimeStamp,Token,Rands(ZAR),Token Description,Latitude,Longitude
11458723697,05/02/2021 12:36:43,28984044163389286925,200,ELECTRICITY CREDIT,-29.087217,26.154898
11458723697,05/02/2021 12:36:43,41062488908644130129,150,ELECTRICITY CREDIT,-29.087217,26.154898
15234578523,05/08/2021 18:40:43,65519486066150660226,50,ELECTRICITY CREDIT,-33.96109,25.61494
15234578523,05/12/2021 09:24:45,17747771068943366978,300,ELECTRICITY CREDIT,-33.96109,25.61494
15234578523,05/15/2021 14:22:39,13543763947491876507,500,ELECTRICITY CREDIT,-33.96109,25.61494
15234578523,05/18/2021 08:24:01,32879425946199774057,700,ELECTRICITY CREDIT,-33.96109,25.61494
15234578523,08/06/2021 13:47:47,66479463021308058410,250,ELECTRICITY CREDIT,-33.96109,25.61494
15783469587,08/10/2021 18:45:58,26988397385711506342,200,ELECTRICITY CREDIT,-34.18307,22.14605
15783469587,08/15/2021 13:34:28,11448550889581923455,100,ELECTRICITY CREDIT,-34.18307,22.14605
15783469587,08/19/2021 08:57:42,00117037348822830317,300,ELECTRICITY CREDIT,-34.18307,22.14605
15783469587,08/22/2021 17:08:25,46445045395180174430,400,ELECTRICITY CREDIT,-34.18307,22.14605
57878521523,02/13/2021 18:47:38,23571781580796249563,1000,ELECTRICITY CREDIT,-33.93462,18.86676
57878521523,03/15/2021 06:53:26,07734197861563653911,200,ELECTRICITY CREDIT,-33.93462,18.86676
57878521523,03/15/2021 06:53:26,15531706047749332861,50,ELECTRICITY CREDIT,-33.93462,18.86676
78521436987,07/05/2021 16:15:08,01943248298526750823,450,ELECTRICITY CREDIT,-26.20227,28.04363
78521436987,07/05/2021 16:15:08,48362782277780274272,500,ELECTRICITY CREDIT,-26.20227,28.04363
78521436987,01/17/2021 21:25:51,02493617544442011673,600,ELECTRICITY CREDIT,-26.20227,28.04363
78521436987,01/17/2021 21:25:51,22393318516056521356,650,ELECTRICITY CREDIT,-26.20227,28.04363
87821436987,02/13/2021 18:47:38,03781635899323092489,150,ELECTRICITY CREDIT,-29.8579,31.0292
87821436987,06/14/2021 17:49:08,08570918057974746129,200,ELECTRICITY CREDIT,-29.8579,31.0292
87821436987,06/23/2021 05:37:50,57837801574554198527,250,ELECTRICITY CREDIT,-29.8579,31.0292
87821436987,06/27/2021 13:25:08,10115416953141819017,100,ELECTRICITY CREDIT,-29.8579,31.0292
